abbot	<dt>:the superior of a monastery for men</dt>
soot	<dt>:a black substance formed by combustion or separated from fuel during combustion, rising in fine particles, and adhering to the sides of the chimney or pipe conveying the smoke</dt> <dt>:the fine powder consisting chiefly of carbon that colors smoke</dt>
spatter	<dt>:to spurt forth in scattered drops <vi>blood <it>spatter</it><it>ing</it> everywhere</vi></dt><dt>:to splash with or as if with a liquid</dt> <dt>:to soil in this way <vi>his coat was <it>spatter</it><it>ed</it> with mud</vi></dt> <dt>:to scatter by or as if by splashing <vi><it>spatter</it> water</vi></dt> <dt>:to cover with or as if with splashes or spots</dt> <dt>:to cast aspersions on :<sx>defame</sx> <vi><it>spatter</it><it>ed</it> my reputation</vi></dt>
speckle	<dt>:a little <fw>speck</fw> (as of color)</dt>
spoor	<dt>:a track, a trail, a scent, or droppings especially of a wild animal</dt> <dt>:a trace by which the progress of someone or something may be followed</dt>
sprain	<dt>:a sudden or violent twist or wrench of a joint with stretching or tearing of ligaments</dt> <dt>:a <fw>sprained</fw> condition</dt>
sprawl	<dt>:to lie thrashing or tossing about</dt>  <dt>:to creep or clamber awkwardly</dt> <dt>:to lie or sit with arms and legs spread out</dt> <dt>:to spread or develop irregularly or without restraint <vi>bushes <it>sprawl</it><it>ing</it> along the road</vi> <vi><it>sprawl</it><it>ing</it> suburbs</vi> <vi>a <it>sprawl</it><it>ing</it> narrative</vi></dt><dt>:to cause to spread out carelessly or awkwardly <vi><it>sprawl</it><it>ed</it> out her books on the table</vi></dt>
spriggans	
spur	<dt>:a pointed device secured to a rider's heel and used to urge on the horse</dt>  <dt>:recognition and reward for achievement <vi>won his academic <it>spur</it><it>s</it> as the holder of a chair in a university <aq>James Mountford</aq></vi></dt> <dt>:a goad to action :<sx>stimulus</sx></dt> <dt> :something projecting like or suggesting a spur: as</dt>  <dt>:a projecting root or branch of a tree, shrub, or vine</dt>  <dt>:a stiff sharp spine (as on the wings or legs of a bird or insect)</dt> <dt>:one on a cock's leg</dt>  <dt>:a gaff for a gamecock</dt>  <dt>:a hollow projecting appendage of a corolla or calyx (as in larkspur or columbine)</dt>  <dt>:a bony outgrowth (as on the heel of the foot)</dt>  <dt>:<sx>climbing iron</sx> </dt> <dt>:an angular projection, offshoot, or branch extending out beyond or away from a main body or formation</dt> <dt>:a ridge or lesser elevation that extends laterally from a mountain or mountain range</dt>  <dt>:a railroad track that branches off from a main line</dt> <dt>:a reinforcing buttress of masonry in a fortification</dt><dt>:on impulse :<sx>suddenly</sx></dt>
squalor	<dt>:the quality or state of being <fw>squalid</fw></dt>
squelch	<dt>:to fall or stamp on so as to crush</dt>  <dt>:to completely suppress :<sx>quell</sx> <vi><it>squelch</it> resistance</vi></dt>  <dt>:<sx>silence</sx> <vi><it>squelch</it><it>ed</it> the protesters</vi></dt> <dt>:to emit or move with a sucking sound</dt><dt>:to emit a sucking sound</dt> <dt>:to splash through water, slush, or mire</dt>
squint	<dt>:looking or tending to look obliquely or askance (as with envy or disdain)</dt> <dt>:not having the visual axes parallel :<sx>crossed</sx></dt>
squinting	<dt>:to have an indirect bearing, reference, or aim</dt>  <dt>:to deviate from a true line</dt> <dt>:to look in a squint-eyed manner</dt>  <dt>:to be cross-eyed</dt>  <dt>:to look or peer with eyes partly closed</dt><dt>:to cause (an eye) to squint</dt>
stalwart	<dt>:marked by outstanding strength and vigor of body, mind, or spirit <vi><it>stalwart</it> common sense</vi></dt>
stammer	<dt>:to make involuntary stops and repetitions in speaking</dt><dt>:to utter with involuntary stops or repetitions</dt>
stately	<dt>:marked by lofty or imposing dignity</dt>  <dt>:<sx>haughty</sx> <sx>unapproachable</sx></dt> <dt>:impressive in size or proportions</dt>
steeple	<dt>:a tall structure usually having a small spire at the top and surmounting a church tower</dt> <dt>:a whole church tower</dt>
steepling	
stele	<dt>:the usually cylindrical central vascular portion of the axis of a vascular plant</dt>
stifle	<dt>:the joint next above the hock in the hind leg of a quadruped (as a horse or dog) corresponding to the human knee <dx>see <dxt>horse <dxn>illustration</dxn></dxt></dx></dt>
stocky	<dt>:compact, sturdy, and relatively thick in build</dt>
stoop	<dt>:to bend the body or a part of the body forward and downward sometimes simultaneously bending the knees</dt>  <dt>:to stand or walk with a forward inclination of the head, body, or shoulders</dt> <dt>:<sx>yield</sx> <sx>submit</sx></dt> <dt>:to descend from a superior rank, dignity, or status</dt>  <dt>:to lower oneself morally <vi><it>stoop</it><it>ed</it> to lying</vi></dt> <dt>:to move down from a height :<sx>alight</sx></dt>  <dt>:to fly or dive down swiftly usually to attack prey</dt><dt>:<sx>debase</sx> <sx>degrade</sx></dt> <dt>:to bend (a part of the body) forward and downward</dt>
stooped	<dt>:to bend the body or a part of the body forward and downward sometimes simultaneously bending the knees</dt>  <dt>:to stand or walk with a forward inclination of the head, body, or shoulders</dt> <dt>:<sx>yield</sx> <sx>submit</sx></dt> <dt>:to descend from a superior rank, dignity, or status</dt>  <dt>:to lower oneself morally <vi><it>stoop</it><it>ed</it> to lying</vi></dt> <dt>:to move down from a height :<sx>alight</sx></dt>  <dt>:to fly or dive down swiftly usually to attack prey</dt><dt>:<sx>debase</sx> <sx>degrade</sx></dt> <dt>:to bend (a part of the body) forward and downward</dt>
straggler	<dt>:to wander from the direct course or way :<sx>rove</sx> <sx>stray</sx></dt> <dt>:to trail off from others of its kind <vi>little cabins <it>straggling</it> off into the woods</vi></dt>
strew	<dt>:to spread by scattering</dt> <dt>:to cover by or as if by scattering something <vi><it>strew</it><it>ing</it> the highways with litter</vi></dt> <dt>:to become dispersed over as if scattered</dt> <dt>:to spread abroad :<sx>disseminate</sx></dt>
striae	<dt>:<sx>striation <sxn>2</sxn></sx></dt> <dt>:a <fw>stripe</fw> or line (as in the skin) distinguished from the surrounding area by color, texture, or elevation <dx>compare <dxt>stretch marks</dxt></dx></dt>
striga	
strut	<dt>:to become turgid :<sx>swell</sx></dt> <dt>:to walk with a proud gait</dt>  <dt>:to walk with a pompous and affected air</dt><dt>:to parade (as clothes) with a show of pride</dt><dt>:to display one's best work :<sx>show off</sx></dt>
stubble	<dt>:the basal part of herbaceous plants and especially cereal grasses remaining attached to the soil after harvest</dt> <dt>:a rough surface or growth resembling stubble</dt> <dt>:a short growth of beard</dt>
stucco	<dt>:a fine plaster used in decoration and ornamentation (as of interior walls)</dt>  <dt>:a material usually made of portland cement, sand, and a small percentage of lime and applied in a plastic state to form a hard covering for exterior walls</dt> <dt>:<sx>stuccowork</sx></dt>
sty	<dt>:<sx>pigpen</sx></dt>
sulk	<dt>:to be moodily silent</dt>
sullen	<dt>:gloomily or resentfully silent or repressed <vi>a <it>sullen</it> crowd</vi></dt>  <dt>:suggesting a sullen state :<sx>lowering</sx> <vi>a <it>sullen</it> countenance</vi></dt> <dt>:dull or <d_link>somber</d_link> in sound or color</dt> <dt>:<sx>dismal</sx> <sx>gloomy</sx> <vi>a <it>sullen</it> morning</vi></dt> <dt>:moving sluggishly <vi>a <it>sullen</it> river</vi></dt>
sult	
superbly	<dt>:marked to the highest degree by grandeur, excellence, brilliance, or competence</dt>
supine	<dt>:a Latin verbal noun having an accusative of purpose in <it>-um</it> and an ablative of specification in <it>-u</it></dt> <dt>:an English infinitive with <it>to</it></dt>
surges	<dt>:to rise and fall actively :<sx>toss</sx> <vi>a ship <it>surging</it> in heavy seas</vi></dt> <dt>:to rise and move in waves or billows :<sx>swell</sx> <vi>the sea was <it>surging</it></vi></dt> <dt>:to slip around a windlass, capstan, or bitts <un>used especially of a rope</un></dt> <dt>:to rise suddenly to an excessive or abnormal value <vi>the stock market <it>surged</it> to a record high</vi></dt> <dt>:to move with a surge or in <fw>surges</fw> <vi>felt the blood <it>surging</it> into his face <aq>Harry Hervey</aq></vi> <vi>she <it>surged</it> past the other runners</vi></dt><dt>:to let go or slacken gradually (as a rope)</dt>
surly	<dt>:menacing or threatening in appearance <vi><it>surly</it> weather</vi></dt> <dt>:<sx>arrogant</sx> <sx>imperious</sx></dt> <dt>:irritably sullen and churlish in mood or manner :<sx>crabbed</sx></dt>
swaddled	<dt>:to wrap (an infant) with <fw>swaddling</fw> clothes</dt>  <dt>:<sx>envelop</sx> <sx>swathe</sx> <vi>legs <it>swaddled</it> in bandages</vi></dt> <dt>:<sx>restrain</sx> <sx>restrict</sx> <vi>marriage &#8230; <it>swaddled</it> him in a domesticity he came to loathe <aq>Nina Auerbach</aq></vi></dt>
swat	<dt>:a police or military unit specially trained and equipped to handle unusually hazardous situations or missions</dt>
swathe	<dt>:a band used in <fw>swathing</fw></dt> <dt>:an enveloping medium</dt>
swathed	<dt>:to bind, wrap, or swaddle with or as if with a bandage</dt> <dt>:<sx>envelop</sx> <vi>a mountain <it>swathed</it> by clouds</vi></dt>
swelter	<dt>:to suffer, sweat, or be faint from heat</dt> <dt>:to become exceedingly hot <vi>in summer, the place <it>swelter</it><it>s</it></vi></dt><dt>:to oppress with heat</dt> <dt>:<sx>exude</sx> <vi><it>swelter</it><it>ed</it> venom <aq>Shakespeare</aq></vi></dt>
swerve	<dt>:to turn aside abruptly from a straight line or course :<sx>deviate</sx></dt><dt>:to cause to turn aside or deviate</dt>
swindler	<dt>:to obtain money or property by fraud or deceit</dt><dt>:to take money or property from by fraud or deceit</dt>
swivel	<dt>:a device joining two parts so that one or both can pivot freely (as on a bolt or pin)</dt>
swivelled	<dt>:to turn on or as if on a swivel <vi><it>swivel</it><it>ed</it> his eyes in various directions</vi></dt><dt>:to swing or turn on or as if on a swivel</dt>
swoon	<dt>:<sx>faint</sx></dt>  <dt>:to become enraptured <vi><it>swoon</it><it>ing</it> with joy</vi></dt> <dt>:<sx>droop</sx> <sx>fade</sx></dt>
sycophantic	<dt>:of, relating to, or characteristic of a <fw>sycophant</fw> :<sx>fawning</sx> <sx>obsequious</sx> <vi><it>sycophantic</it> compliments</vi></dt>
tabard	<dt> :a short loose-fitting sleeveless or short-sleeved coat or cape: as</dt>  <dt>:a tunic worn by a knight over his armor and emblazoned with his arms</dt>  <dt>:a herald's official cape or coat emblazoned with his lord's arms</dt>  <dt>:a woman's sleeveless outer garment often with side slits </dt>
tantamount	<dt>:equivalent in value, significance, or effect <vi>a relationship <it>tantamount</it> to marriage</vi></dt>
tantrum	<dt>:a fit of bad temper</dt>
tantrums	<dt>:a fit of bad temper</dt>
taper	<dt>:a slender candle</dt>  <dt>:a long waxed wick used especially for lighting candles, lamps, pipes, or fires</dt>  <dt>:a feeble light</dt> <dt>:a <fw>tapering</fw> form or figure</dt>  <dt>:gradual diminution of thickness, diameter, or width in an elongated object</dt>  <dt>:a gradual decrease</dt>
tardy	<dt>:moving slowly :<sx>sluggish</sx> <vi>the <it>tardy</it> pace at which she was obliged to walk <aq>Charles Dickens</aq></vi></dt> <dt>:delayed beyond the expected or proper time :<sx>late</sx> <vi>a <it>tardy</it> arrival</vi></dt>
tarp	<dt>:<sx>tarpaulin</sx></dt>
tart	<dt>:agreeably sharp or acid to the taste <vi>a <it>tart</it> apple</vi></dt> <dt>:marked by a biting, acrimonious, or cutting quality <vi>a <it>tart</it> rejoinder</vi></dt>
tartly	<dt>:agreeably sharp or acid to the taste <vi>a <it>tart</it> apple</vi></dt> <dt>:marked by a biting, acrimonious, or cutting quality <vi>a <it>tart</it> rejoinder</vi></dt>
taut	<dt>:having no give or slack :tightly drawn <vi>a <it>taut</it> rope</vi></dt>  <dt>:<sx>high-strung</sx> <sx>tense</sx> <vi><it>taut</it> nerves</vi></dt> <dt>:kept in proper order or condition <vi>a <it>taut</it> ship</vi></dt>  <dt>:not loose or flabby <vi><it>taut</it> muscles</vi></dt>  <dt>:marked by economy of structure and detail <vi>a <it>taut</it> story</vi></dt>
tawdry	<dt>:cheap and gaudy in appearance or quality</dt> <dt>:<sx>ignoble</sx> <vi>a <it>tawdry</it> attempt to smear his opponent</vi></dt>
teeps	
teeter	<dt>:to move unsteadily :<sx>wobble</sx></dt>  <dt>:<sx>waver</sx> <sx>vacillate</sx> <vi><it>teeter</it><it>ed</it> on the brink of bankruptcy</vi></dt> <dt>:<sx>seesaw</sx></dt>
tempest	<dt>:a violent storm</dt> <dt>:<sx>tumult</sx> <sx>uproar</sx></dt>
tendril	<dt>:a leaf, stipule, or stem modified into a slender spirally coiling sensitive organ serving to attach a climbing plant to its support</dt> <dt>:something suggestive of a tendril <vi>creeping <it>tendril</it><it>s</it> of fog</vi></dt>
terrine	<dt>:<sx>tureen <sxn>1</sxn></sx></dt>  <dt>:a usually earthenware dish in which foods are cooked and served</dt> <dt>:a mixture of chopped meat, fish, or vegetables cooked and served in a terrine</dt>
tethered	<dt>:to fasten or restrain by or as if by a tether <vi>felt <it>tether</it><it>ed</it> to her desk until the work was done</vi></dt>
thatch	<dt>:to cover with or as if with thatch</dt>
thaw	<dt>:to cause to thaw</dt><dt>:to go from a frozen to a liquid state :<sx>melt</sx></dt>  <dt>:to become free of the effect (as stiffness, numbness, or hardness) of cold as a result of exposure to warmth</dt> <dt>:to be warm enough to melt ice and snow <un>used with <it>it</it> in reference to the weather</un></dt> <dt>:to abandon aloofness, reserve, or hostility :<sx>unbend</sx></dt> <dt>:to become mobile, active, or susceptible to change</dt>
thon	
thoroughfare	<dt> :a way or place for passage: as</dt>  <dt>:a street open at both ends</dt>  <dt>:a main road </dt> <dt>:<sx>passage</sx> <sx>transit</sx></dt>  <dt>:the conditions necessary for passing through</dt>
thoroughfares	<dt> :a way or place for passage: as</dt>  <dt>:a street open at both ends</dt>  <dt>:a main road </dt> <dt>:<sx>passage</sx> <sx>transit</sx></dt>  <dt>:the conditions necessary for passing through</dt>
threadbare	<dt>:having the nap worn off so that the <fw>thread</fw> shows :<sx>shabby</sx> <vi><it>threadbare</it> clothes</vi></dt>  <dt>:wearing threadbare clothing :very poor <vi>took in <it>threadbare</it> relatives <aq>Russell Baker</aq></vi></dt>  <dt>:barely adequate because of cheapness or shabbiness <vi>a <it>threadbare</it> production</vi></dt> <dt>:exhausted of interest or freshness</dt>
thrifty	<dt>:<fw>thriving</fw> by industry and frugality :<sx>prosperous</sx></dt> <dt>:growing vigorously</dt> <dt>:given to or marked by economy and good management</dt>
throb	<dt>:to pulsate or pound with abnormal force or rapidity</dt> <dt>:to beat or vibrate rhythmically</dt>
thumping	<dt>:impressively large, great, or excellent <vi>a <it>thumping</it> majority</vi></dt>
tiers	<dt>:a row, rank, or layer of articles</dt> <dt>:one of two or more rows, levels, or ranks arranged one above another</dt>  <dt>:a group of political or geographic divisions that form a row across the map <vi>the southern <it>tier</it> of states</vi></dt> <dt>:<sx>class</sx> <sx>category</sx></dt>
tinsel	<dt>:threads, strips, or sheets of metal, paper, or plastic used to produce a glittering and sparkling appearance in fabrics, yarns, or decorations</dt> <dt>:something superficially attractive or glamorous but of little real worth <vi>disfigured by no gaudy <it>tinsel</it> of rhetoric or declamation <aq>Thomas Jefferson</aq></vi></dt>
tithe	<dt>:to pay or give a tenth part of especially for the support of the church</dt> <dt>:to levy a tithe on</dt><dt>:to give a tenth of one's income as a tithe</dt>
titty	
tonsure	<dt>:the Roman Catholic or Eastern rite of admission to the clerical state by the clipping or shaving of a portion of the head</dt> <dt>:the shaven crown or patch worn by monks and other clerics</dt> <dt>:a bald spot resembling a tonsure</dt>
topiary	<dt>:of, relating to, or being the practice or art of training, cutting, and trimming trees or shrubs into odd or ornamental shapes</dt> <dt>:characterized by such work</dt>
totter	<dt>:to tremble or rock as if about to fall :<sx>sway</sx></dt>  <dt>:to become unstable :threaten to collapse</dt> <dt>:to move unsteadily :<sx>stagger</sx> <sx>wobble</sx></dt>
tousle	<dt>:<sx>dishevel</sx> <sx>rumple</sx> <vi><it>tousled</it> hair</vi></dt>
traipse	<dt>:to go on foot :<sx>walk</sx> <vi><it>traipsed</it> over to the restaurant</vi> <vi>children <it>traipsing</it> at her heels</vi></dt> <dt>:to walk or travel about without apparent plan but with or without a purpose <vi>a week <it>traipsing</it> through the Ozarks</vi> <vi><it>traipsing</it> from office to office</vi></dt><dt>:<sx>tramp</sx> <sx>walk</sx> <vi><it>traipse</it> the countryside</vi></dt>
trickle	<dt>:to issue or fall in drops</dt>  <dt>:to flow in a thin gentle stream</dt> <dt>:to move or go one by one or little by little <vi>customers began to <it>trickle</it> in</vi></dt>  <dt>:to dissipate slowly <vi>his enthusiasm <it>trickled</it> away</vi></dt>
trifle	<dt>:something of little value, substance, or importance</dt> <dt>:a dessert typically consisting of plain or sponge cake often soaked with wine or spirits (as brandy or rum) and topped with layers of preserves, custard, and cream</dt><dt>:to some small degree :<sx>slightly</sx> <vi><it>a trifle</it> annoyed</vi></dt>
trifling	<dt> :lacking in significance or solid worth: as</dt>  <dt>:<sx>frivolous</sx> <vi><it>trifling</it> talk</vi></dt>  <dt>:<sx>trivial</sx> <vi>a <it>trifling</it> gift</vi></dt>  <dt>:<sx>lazy</sx> <sx>shiftless</sx> <vi>a <it>trifling</it> fellow</vi> </dt>
trollop	<dt>:a vulgar or disreputable woman</dt> <dt>:one who engages in sex promiscuously or for money</dt>
trough	<dt>:a long shallow often V-shaped receptacle for the drinking water or feed of domestic animals</dt>  <dt>:any of various domestic or industrial containers</dt> <dt>:a conduit, drain, or channel for water</dt> <dt>:a gutter along the eaves of a building</dt>  <dt>:a long and narrow or shallow channel or depression (as between waves or hills)</dt> <dt>:a long but shallow depression in the bed of the sea <dx>compare <dxt>trench</dxt></dx></dt> <dt> :the minimum point of a complete cycle of a periodic function: as</dt>  <dt>:an elongated area of low barometric pressure</dt>  <dt>:the low point in a business cycle </dt>
truncheon	<dt>:a shattered spear or lance</dt> <dt>:<sx>club</sx> <sx>bludgeon</sx></dt>  <dt>:<sx>baton <sxn>2</sxn></sx></dt>  <dt>:a police officer's billy club</dt>
truncheons	<dt>:a shattered spear or lance</dt> <dt>:<sx>club</sx> <sx>bludgeon</sx></dt>  <dt>:<sx>baton <sxn>2</sxn></sx></dt>  <dt>:a police officer's billy club</dt>
tuft	<dt>:a small cluster of elongated flexible outgrowths attached or close together at the base and free at the opposite ends</dt> <dt>:a growing bunch of grasses or close-set plants</dt>  <dt>:a bunch of soft fluffy threads cut off short and used as ornament</dt> <dt>:<sx>clump</sx> <sx>cluster</sx></dt> <dt>:<sx>mound</sx></dt> <dt>:any of the projections of yarns drawn through a fabric or making up a fabric so as to produce a surface of raised loops or cut pile</dt>
tug	<dt>:to pull hard</dt> <dt>:to struggle in opposition :<sx>contend</sx></dt> <dt>:to exert oneself laboriously :<sx>labor</sx></dt><dt>:to pull or strain hard at</dt> <dt>:to move by pulling hard :<sx>haul</sx></dt>  <dt>:to carry with difficulty :<sx>lug</sx></dt> <dt>:to tow with a tugboat</dt>
tumbler	<dt> :one that <fw>tumbles</fw>: as</dt>  <dt>:one who performs <fw>tumbling</fw> feats :<sx>acrobat</sx></dt>  <dt>:any of various domestic pigeons that <fw>tumble</fw> or somersault backward in flight or on the ground </dt> <dt>:a drinking glass without foot or stem and originally with pointed or convex base</dt> <dt>:a movable obstruction in a lock (as a lever, latch, wheel, slide, or pin) that must be adjusted to a particular position (as by a key) before the bolt can be thrown</dt>  <dt>:a piece on which the mainspring acts in a gun's lock</dt> <dt>:a device or mechanism for tumbling (as a revolving cage in which clothes are dried)</dt> <dt>:a worker who operates a tumbler</dt>
Tut	<dt><un>used to express disapproval or disbelief</un></dt>
twaddle	<dt>:silly idle talk :<sx>drivel</sx></dt>  <dt>:something insignificant or worthless :<sx>nonsense</sx> <vi>that idea is pure <it>twaddle</it></vi></dt> <dt>:one that <fw>twaddles</fw> :<sx>twaddler</sx></dt>
twanged	<dt>:to sound with a twang <vi>the couch <it>twang</it><it>ed</it> when he sat down</vi></dt> <dt>:to speak or sound with a nasal intonation</dt> <dt>:to throb or twitch with pain or tension</dt><dt>:to cause to sound with a twang</dt> <dt>:to utter or pronounce with a nasal twang</dt> <dt>:to pluck the string of <vi><it>twang</it> a guitar</vi></dt>
umber	<dt>:a brown earth that is darker in color than ocher and sienna because of its content of manganese and iron oxides and is highly valued as a permanent pigment either in the raw or burnt state</dt> <dt>:a moderate to dark yellowish brown</dt>  <dt>:a moderate brown</dt>
Umpteen	<dt>:very many :indefinitely numerous</dt>
Understood	<dt>:fully apprehended</dt> <dt>:agreed upon</dt> <dt>:<sx>implicit</sx></dt>
unerringly	<dt>:committing no error :<sx>faultless</sx> <sx>unfailing</sx> <vi><it>unerring</it> accuracy</vi></dt>
ungird	<dt>:to divest of a restraining band or girdle :<sx>unbind</sx></dt>
urchin	<dt>:<sx>hedgehog <sxn>1a</sxn></sx></dt> <dt>:a mischievous and often poor and raggedly clothed youngster <vi>street <it>urchin</it><it>s</it></vi></dt> <dt>:<sx>sea urchin</sx></dt>
ute	<dt>:a member of an American Indian people originally ranging through Utah, Colorado, Arizona, and New Mexico</dt> <dt>:the Uto-Aztecan language of the Ute people</dt>
vagrant	<dt>:one who has no established residence and wanders idly from place to place without lawful or visible means of support</dt>  <dt>:one (as a prostitute or drunkard) whose conduct constitutes statutory <fw>vagrancy</fw></dt> <dt>:<sx>wanderer</sx> <sx>rover</sx></dt>
valedictorian	<dt>:the student usually having the highest rank in a graduating class who delivers the <fw>valedictory</fw> address at the commencement exercises</dt>
veer	<dt>:to let out (as a rope)</dt>
veneer	<dt> :a thin sheet of a material: as</dt>  <dt>:a layer of wood of superior value or excellent grain to be glued to an inferior wood</dt>  <dt>:any of the thin layers bonded together to form plywood </dt>  <dt>:a plastic or porcelain coating bonded to the surface of a cosmetically imperfect tooth</dt> <dt>:a protective or ornamental facing (as of brick or stone)</dt> <dt>:a superficial or deceptively attractive appearance, display, or effect :<sx>facade</sx> <sx>gloss</sx> <vi>a <it>veneer</it> of tolerance</vi></dt>
veracity	<dt>:devotion to the truth :<sx>truthfulness</sx></dt> <dt>:power of conveying or perceiving truth</dt> <dt>:<d_link>conformity</d_link> with truth or fact :<sx>accuracy</sx></dt> <dt>:something true <vi>makes lies sound like <it>veracities</it></vi></dt>
vie	<dt>:<sx>wager</sx> <sx>hazard</sx></dt> <dt>:to exchange in rivalry :<sx>match</sx></dt><dt>:to strive for superiority :<sx>contend</sx> <sx>compete</sx></dt>
votive	<dt>:consisting of or expressing a vow, wish, or desire <vi>a <it>votive</it> prayer</vi></dt> <dt>:offered or performed in fulfillment of a vow or in gratitude or devotion</dt>
wanly	<dt>:suggestive of poor health :<sx>sickly</sx> <sx>pallid</sx></dt>  <dt>:lacking vitality :<sx>feeble</sx></dt> <dt>:<sx>dim</sx> <sx>faint</sx></dt> <dt>:<sx>languid</sx> <vi>a <it>wan</it> smile</vi></dt>
warren	<dt>:a place legally authorized for keeping small game (as hare or pheasant)</dt>  <dt>:the privilege of hunting game in such a warren</dt> <dt>:an area (as of uncultivated ground) where rabbits breed</dt>  <dt>:a structure where rabbits are kept or bred</dt>  <dt>:the rabbits of a warren</dt> <dt>:a crowded tenement or district</dt>  <dt>:a maze of passageways or small rooms</dt>
weathered	<dt>:seasoned by exposure to the <fw>weather</fw></dt> <dt>:altered in color, texture, composition, or form by such exposure or by artificial means producing a similar effect <vi><it>weathered</it> oak</vi></dt>
wedge	<dt>:a piece of a substance (as wood or iron) that tapers to a thin edge and is used for splitting wood and rocks, raising heavy bodies, or for tightening by being driven into something</dt> <dt>:something (as a policy) causing a breach or separation</dt>  <dt>:something used to initiate an action or development</dt> <dt> :something wedge-shaped: as</dt>  <dt>:an array of troops or tanks in the form of a wedge</dt>  <dt>:the wedge-shaped stroke in cuneiform characters</dt>  <dt>:a shoe having a heel extending from the back of the shoe to the front of the shank and a tread formed by an extension of the sole</dt>  <dt>:an iron golf club with a broad low-angled face for maximum loft </dt> <dt>:a golf shot made with a wedge <ca>called also <cat>wedge shot</cat></ca></dt>
weir	<dt>:a fence or enclosure set in a waterway for taking fish</dt> <dt>:a dam in a stream or river to raise the water level or divert its flow</dt>
wharf	<dt>:a structure built along or at an angle from the shore of navigable waters so that ships may lie alongside to receive and discharge cargo and passengers</dt> <dt>:the bank of a river or the shore of the sea</dt>
wheedle	<dt>:to influence or entice by soft words or flattery</dt> <dt>:to gain or get by <fw>wheedling</fw> <vi><it>wheedle</it> one's way into favor</vi></dt><dt>:to use soft words or flattery</dt>
wheeze	<dt>:to breathe with difficulty usually with a whistling sound</dt> <dt>:to make a sound resembling that of <fw>wheezing</fw> <vi>the bellows <it>wheezed</it></vi></dt>
whisked	<dt>:to move nimbly and quickly</dt><dt>:to move or convey briskly <vi><it>whisk</it><it>ed</it> the children off to bed</vi></dt> <dt>:to mix or fluff up by or as if by beating with a whisk <vi><it>whisk</it> egg whites</vi></dt> <dt>:to brush or wipe off lightly</dt>
whittling	<dt>:the act or art of whittling</dt> <dt>:a piece cut away in whittling</dt>
wiggling	<dt>:to move to and fro with quick jerky or shaking motions :<sx>jiggle</sx></dt> <dt>:to proceed with or as if with twisting and turning movements :<sx>wriggle</sx></dt><dt>:to cause to wiggle</dt>
wilt	
wince	<dt>:to shrink back involuntarily (as from pain) :<sx>flinch</sx></dt>
winding	<dt>:material (as wire) wound or coiled about an object (as an armature)</dt> <dt>:a single turn of the wound material</dt> <dt>:the act of one that <fw>winds</fw></dt>  <dt>:the manner of winding something</dt> <dt>:a curved or sinuous course, line, or progress</dt>
wistful	<dt>:full of yearning or desire tinged with melancholy</dt> <dt>:inspiring such yearning <vi>a <it>wistful</it> memoir</vi></dt> <dt>:musingly sad :<sx>pensive</sx> <vi>a <it>wistful</it> glance</vi></dt>
wobbly	<dt>:a member of the Industrial Workers of the World</dt>
wont	<dt>:<sx>accustomed</sx> <sx>used</sx> <vi>got up early as he is <it>wont</it> to do</vi></dt> <dt>:<sx>inclined</sx> <sx>apt</sx> <vi>revealing as letters are <it>wont</it> to be <aq>Gladys M. Wrigley</aq></vi></dt>
woof	<dt>:<sx>weft <sxn>1a</sxn></sx></dt>  <dt>:woven fabric</dt> <dt>:the texture of such a fabric</dt> <dt>:a basic or essential element or material</dt>
wriggle	<dt>:to move the body or a bodily part to and fro with short writhing motions like a worm :<sx>squirm</sx></dt> <dt>:to move or advance by twisting and turning</dt> <dt>:to extricate or insinuate oneself or reach a goal as if by <fw>wriggling</fw></dt><dt>:to cause to move in short quick contortions</dt> <dt>:to introduce, insinuate, or bring into a state or place by or as if by wriggling</dt>
writhe	<dt>:to twist into coils or folds</dt>  <dt>:to twist so as to distort :<sx>wrench</sx></dt>  <dt>:to twist (the body or a bodily part) in pain</dt> <dt>:<sx>intertwine</sx></dt><dt>:to move or proceed with twists and turns <vi><it>writhed</it> to the music</vi></dt> <dt>:to twist from or as if from pain or struggling</dt> <dt>:to suffer keenly</dt>
writhing	<dt>:to twist into coils or folds</dt>  <dt>:to twist so as to distort :<sx>wrench</sx></dt>  <dt>:to twist (the body or a bodily part) in pain</dt> <dt>:<sx>intertwine</sx></dt><dt>:to move or proceed with twists and turns <vi><it>writhed</it> to the music</vi></dt> <dt>:to twist from or as if from pain or struggling</dt> <dt>:to suffer keenly</dt>
wryly	<dt>:having a bent or twisted shape or condition <vi>a <it>wry</it> smile</vi></dt> <dt>:turned abnormally to one side <vi>a <it>wry</it> neck</vi></dt> <dt>:<sx>wrongheaded <sxn>1</sxn></sx></dt> <dt>:cleverly and often ironically or grimly humorous</dt>
yaw	<dt>:the action of yawing</dt> <dt>:a side to side movement</dt> <dt>:the extent of the movement in yawing</dt>
yowl	<dt>:to utter a loud long cry of grief, pain, or distress :<sx>wail</sx></dt> <dt>:to complain or protest with or as if with <fw>yowls</fw></dt><dt>:to express with <fw>yowling</fw></dt>
